year,state_short,state_long,indicator,value
1984,NY,New York,stem phd,36
1984,NY,New York,agg total,177371
1984,NY,New York,ba total,4898
1984,NY,New York,elem total,3394
1984,NY,New York,ma total,7441
1984,NY,New York,other total,5783
1984,NY,New York,phd total,496
1984,NY,New York,sped total,3191
1984,NY,New York,state total,12835
1984,NY,New York,stem total,467
1984,OH,Ohio,elem ba,2049
1984,OH,Ohio,other ba,1820
1984,OH,Ohio,sped ba,462
1984,OH,Ohio,stem ba,293
1984,OH,Ohio,elem ma,423
1984,OH,Ohio,other ma,2882
1984,OH,Ohio,sped ma,398
1984,OH,Ohio,stem ma,225
1984,OH,Ohio,elem phd,16
1984,OH,Ohio,other phd,284
1984,OH,Ohio,sped phd,19
1984,OH,Ohio,stem phd,52
1984,OH,Ohio,agg total,177371
1984,OH,Ohio,ba total,4624
1984,OH,Ohio,elem total,2488
1984,OH,Ohio,ma total,3928
1984,OH,Ohio,other total,4986
1984,OH,Ohio,phd total,371
1984,OH,Ohio,sped total,879
1984,OH,Ohio,state total,8923
1984,OH,Ohio,stem total,570
1984,OK,Oklahoma,elem ba,761
1984,OK,Oklahoma,other ba,989
1984,OK,Oklahoma,sped ba,245
1984,OK,Oklahoma,stem ba,187
1984,OK,Oklahoma,elem ma,270
1984,OK,Oklahoma,other ma,961
1984,OK,Oklahoma,sped ma,182
1984,OK,Oklahoma,stem ma,73
1984,OK,Oklahoma,elem phd,5
1984,OK,Oklahoma,other phd,121
1984,OK,Oklahoma,sped phd,0
1984,OK,Oklahoma,stem phd,26
1984,OK,Oklahoma,agg total,177371
1984,OK,Oklahoma,ba total,2182
1984,OK,Oklahoma,elem total,1036
1984,OK,Oklahoma,ma total,1486
1984,OK,Oklahoma,other total,2071
1984,OK,Oklahoma,phd total,152
1984,OK,Oklahoma,sped total,427
1984,OK,Oklahoma,state total,3820
1984,OK,Oklahoma,stem total,286
1984,OR,Oregon,elem ba,640
1984,OR,Oregon,other ba,599
1984,OR,Oregon,sped ba,7
1984,OR,Oregon,stem ba,91
1984,OR,Oregon,elem ma,86
1984,OR,Oregon,other ma,581
1984,OR,Oregon,sped ma,303
1984,OR,Oregon,stem ma,45
1984,OR,Oregon,elem phd,0
1984,OR,Oregon,other phd,105
1984,OR,Oregon,sped phd,7
1984,OR,Oregon,stem phd,3
1984,OR,Oregon,agg total,177371
1984,OR,Oregon,ba total,1337
1984,OR,Oregon,elem total,726
