,year,state_short,state_long,indicator,value
31691,2013,WI,Wisconsin,Elementary Total,1385
31692,2013,WI,Wisconsin,Masters Total,2192
31693,2013,WI,Wisconsin,Other Total,3151
31694,2013,WI,Wisconsin,PhD Total,123
31695,2013,WI,Wisconsin,SPED Total,285
31696,2013,WI,Wisconsin,State Total,5050
31697,2013,WI,Wisconsin,STEM Total,229
31711,2013,WV,West Virginia,Bachelor Total,891
31712,2013,WV,West Virginia,Elementary Total,558
31713,2013,WV,West Virginia,Masters Total,1124
31714,2013,WV,West Virginia,Other Total,1310
31715,2013,WV,West Virginia,PhD Total,36
31716,2013,WV,West Virginia,SPED Total,146
31717,2013,WV,West Virginia,State Total,2051
31718,2013,WV,West Virginia,STEM Total,37
31732,2013,WY,Wyoming,Bachelor Total,264
31733,2013,WY,Wyoming,Elementary Total,155
31734,2013,WY,Wyoming,Masters Total,98
31735,2013,WY,Wyoming,Other Total,203
31736,2013,WY,Wyoming,PhD Total,17
31737,2013,WY,Wyoming,SPED Total,0
31738,2013,WY,Wyoming,State Total,379
31739,2013,WY,Wyoming,STEM Total,21
31753,2014,AK,Alaska,Bachelor Total,72
31754,2014,AK,Alaska,Elementary Total,62
31755,2014,AK,Alaska,Masters Total,258
31756,2014,AK,Alaska,Other Total,221
31757,2014,AK,Alaska,PhD Total,0
31758,2014,AK,Alaska,SPED Total,23
31759,2014,AK,Alaska,State Total,330
31760,2014,AK,Alaska,STEM Total,24
31774,2014,AL,Alabama,Bachelor Total,2187
31775,2014,AL,Alabama,Elementary Total,1217
31776,2014,AL,Alabama,Masters Total,2308
31777,2014,AL,Alabama,Other Total,2902
31778,2014,AL,Alabama,PhD Total,164
31779,2014,AL,Alabama,SPED Total,346
31780,2014,AL,Alabama,State Total,4659
31781,2014,AL,Alabama,STEM Total,194
31795,2014,AR,Arkansas,Bachelor Total,966
31796,2014,AR,Arkansas,Elementary Total,380
31797,2014,AR,Arkansas,Masters Total,2009
31798,2014,AR,Arkansas,Other Total,2251
31799,2014,AR,Arkansas,PhD Total,65
31800,2014,AR,Arkansas,SPED Total,269
31801,2014,AR,Arkansas,State Total,3040
31802,2014,AR,Arkansas,STEM Total,140
31816,2014,AZ,Arizona,Bachelor Total,3155
31817,2014,AZ,Arizona,Elementary Total,2479
31818,2014,AZ,Arizona,Masters Total,6963
31819,2014,AZ,Arizona,Other Total,6374
31820,2014,AZ,Arizona,PhD Total,607
31821,2014,AZ,Arizona,SPED Total,1667
31822,2014,AZ,Arizona,State Total,10725
31823,2014,AZ,Arizona,STEM Total,205
31837,2014,CA, California,Bachelor Total,692
31838,2014,CA, California,Elementary Total,413
31839,2014,CA, California,Masters Total,13404
31840,2014,CA, California,Other Total,13898
31841,2014,CA, California,PhD Total,1385
31842,2014,CA, California,SPED Total,815
31843,2014,CA, California,State Total,15481
31844,2014,CA, California,STEM Total,355
31858,2014,CO,Colorado,Bachelor Total,247
31859,2014,CO,Colorado,Elementary Total,90
31860,2014,CO,Colorado,Masters Total,2133
31861,2014,CO,Colorado,Other Total,2153
31862,2014,CO,Colorado,PhD Total,180
31863,2014,CO,Colorado,SPED Total,265
31864,2014,CO,Colorado,State Total,2560
31865,2014,CO,Colorado,STEM Total,52
31879,2014,CT,Connecticut,Bachelor Total,644
31880,2014,CT,Connecticut,Elementary Total,475
31881,2014,CT,Connecticut,Masters Total,2061
31882,2014,CT,Connecticut,Other Total,1803
31883,2014,CT,Connecticut,PhD Total,49
31884,2014,CT,Connecticut,SPED Total,392
31885,2014,CT,Connecticut,State Total,2754
31886,2014,CT,Connecticut,STEM Total,84
31900,2014,DE,Delaware,Bachelor Total,406
31901,2014,DE,Delaware,Elementary Total,326
31902,2014,DE,Delaware,Masters Total,614
31903,2014,DE,Delaware,Other Total,562
31904,2014,DE,Delaware,PhD Total,72
31905,2014,DE,Delaware,SPED Total,109
31906,2014,DE,Delaware,State Total,1092
31907,2014,DE,Delaware,STEM Total,95
31921,2014,FL,Florida,Bachelor Total,4650
31922,2014,FL,Florida,Elementary Total,2810
31923,2014,FL,Florida,Masters Total,4588
31924,2014,FL,Florida,Other Total,5598
31925,2014,FL,Florida,PhD Total,860
31926,2014,FL,Florida,SPED Total,1115
31927,2014,FL,Florida,State Total,10098
31928,2014,FL,Florida,STEM Total,575
31942,2014,GA,Georgia,Bachelor Total,2890
31943,2014,GA,Georgia,Elementary Total,1573
31944,2014,GA,Georgia,Masters Total,2863
31945,2014,GA,Georgia,Other Total,3589
31946,2014,GA,Georgia,PhD Total,414
31947,2014,GA,Georgia,SPED Total,614
31948,2014,GA,Georgia,State Total,6167
31949,2014,GA,Georgia,STEM Total,391
31963,2014,HI,Hawaii,Bachelor Total,395
31964,2014,HI,Hawaii,Elementary Total,249
31965,2014,HI,Hawaii,Masters Total,444
31966,2014,HI,Hawaii,Other Total,527
31967,2014,HI,Hawaii,PhD Total,40
31968,2014,HI,Hawaii,SPED Total,78
31969,2014,HI,Hawaii,State Total,879
31970,2014,HI,Hawaii,STEM Total,25
31984,2014,IA,Iowa,Bachelor Total,2239
31985,2014,IA,Iowa,Elementary Total,1309
31986,2014,IA,Iowa,Masters Total,3223
31987,2014,IA,Iowa,Other Total,3818
31988,2014,IA,Iowa,PhD Total,88
31989,2014,IA,Iowa,SPED Total,156
31990,2014,IA,Iowa,State Total,5550
31991,2014,IA,Iowa,STEM Total,267
32005,2014,ID,Idaho,Bachelor Total,874
32006,2014,ID,Idaho,Elementary Total,395
32007,2014,ID,Idaho,Masters Total,524
32008,2014,ID,Idaho,Other Total,767
32009,2014,ID,Idaho,PhD Total,67
32010,2014,ID,Idaho,SPED Total,38
32011,2014,ID,Idaho,State Total,1465
32012,2014,ID,Idaho,STEM Total,265
32026,2014,IL,Illinois,Bachelor Total,3397
32027,2014,IL,Illinois,Elementary Total,2183
32028,2014,IL,Illinois,Masters Total,9373
32029,2014,IL,Illinois,Other Total,9085
32030,2014,IL,Illinois,PhD Total,402
32031,2014,IL,Illinois,SPED Total,1007
32032,2014,IL,Illinois,State Total,13172
32033,2014,IL,Illinois,STEM Total,897
32047,2014,IN,Indiana,Bachelor Total,2816
32048,2014,IN,Indiana,Elementary Total,1723
32049,2014,IN,Indiana,Masters Total,2594
32050,2014,IN,Indiana,Other Total,2903
32051,2014,IN,Indiana,PhD Total,161
32052,2014,IN,Indiana,SPED Total,749
32053,2014,IN,Indiana,State Total,5571
32054,2014,IN,Indiana,STEM Total,196
32068,2014,KS,Kansas,Bachelor Total,1627
32069,2014,KS,Kansas,Elementary Total,931
32070,2014,KS,Kansas,Masters Total,1984
32071,2014,KS,Kansas,Other Total,2235
32072,2014,KS,Kansas,PhD Total,83
32073,2014,KS,Kansas,SPED Total,294
32074,2014,KS,Kansas,State Total,3694
32075,2014,KS,Kansas,STEM Total,234
32089,2014,KY,Kentucky,Bachelor Total,1980
32090,2014,KY,Kentucky,Elementary Total,1245
32091,2014,KY,Kentucky,Masters Total,2897
32092,2014,KY,Kentucky,Other Total,3034
32093,2014,KY,Kentucky,PhD Total,150
32094,2014,KY,Kentucky,SPED Total,654
32095,2014,KY,Kentucky,State Total,5027
32096,2014,KY,Kentucky,STEM Total,94
32110,2014,LA,Louisiana,Bachelor Total,1480
32111,2014,LA,Louisiana,Elementary Total,681
32112,2014,LA,Louisiana,Masters Total,1316
32113,2014,LA,Louisiana,Other Total,2063
32114,2014,LA,Louisiana,PhD Total,104
32115,2014,LA,Louisiana,SPED Total,109
32116,2014,LA,Louisiana,State Total,2900
32117,2014,LA,Louisiana,STEM Total,47
32131,2014,MA,Massachusetts,Bachelor Total,1262
32132,2014,MA,Massachusetts,Elementary Total,1147
32133,2014,MA,Massachusetts,Masters Total,6985
32134,2014,MA,Massachusetts,Other Total,5585
32135,2014,MA,Massachusetts,PhD Total,351
32136,2014,MA,Massachusetts,SPED Total,1452
32137,2014,MA,Massachusetts,State Total,8598
32138,2014,MA,Massachusetts,STEM Total,414
32152,2014,MD,Maryland,Bachelor Total,1307
32153,2014,MD,Maryland,Elementary Total,776
32154,2014,MD,Maryland,Masters Total,2601
32155,2014,MD,Maryland,Other Total,2500
32156,2014,MD,Maryland,PhD Total,104
32157,2014,MD,Maryland,SPED Total,326
32158,2014,MD,Maryland,State Total,4012
32159,2014,MD,Maryland,STEM Total,410
32173,2014,ME,Maine,Bachelor Total,403
32174,2014,ME,Maine,Elementary Total,162
32175,2014,ME,Maine,Masters Total,601
32176,2014,ME,Maine,Other Total,756
32177,2014,ME,Maine,PhD Total,9
32178,2014,ME,Maine,SPED Total,76
32179,2014,ME,Maine,State Total,1013
32180,2014,ME,Maine,STEM Total,19
32194,2014,MI,Michigan,Bachelor Total,3125
32195,2014,MI,Michigan,Elementary Total,928
32196,2014,MI,Michigan,Masters Total,3798
32197,2014,MI,Michigan,Other Total,4482
32198,2014,MI,Michigan,PhD Total,249
32199,2014,MI,Michigan,SPED Total,865
32200,2014,MI,Michigan,State Total,7172
32201,2014,MI,Michigan,STEM Total,897
32215,2014,MN,Minnesota,Bachelor Total,2206
32216,2014,MN,Minnesota,Elementary Total,1089
32217,2014,MN,Minnesota,Masters Total,3373
32218,2014,MN,Minnesota,Other Total,4349
32219,2014,MN,Minnesota,PhD Total,631
32220,2014,MN,Minnesota,SPED Total,445
32221,2014,MN,Minnesota,State Total,6210
32222,2014,MN,Minnesota,STEM Total,327
32236,2014,MO,Missouri,Bachelor Total,2865
32237,2014,MO,Missouri,Elementary Total,1415
32238,2014,MO,Missouri,Masters Total,3975
32239,2014,MO,Missouri,Other Total,5100
32240,2014,MO,Missouri,PhD Total,345
32241,2014,MO,Missouri,SPED Total,412
32242,2014,MO,Missouri,State Total,7185
32243,2014,MO,Missouri,STEM Total,258
32257,2014,MS,Mississippi,Bachelor Total,1803
32258,2014,MS,Mississippi,Elementary Total,1207
32259,2014,MS,Mississippi,Masters Total,1465
32260,2014,MS,Mississippi,Other Total,1998
32261,2014,MS,Mississippi,PhD Total,132
32262,2014,MS,Mississippi,SPED Total,121
32263,2014,MS,Mississippi,State Total,3400
32264,2014,MS,Mississippi,STEM Total,74
32278,2014,MT,Montana,Bachelor Total,505
32279,2014,MT,Montana,Elementary Total,253
32280,2014,MT,Montana,Masters Total,332
32281,2014,MT,Montana,Other Total,435
32282,2014,MT,Montana,PhD Total,18
32283,2014,MT,Montana,SPED Total,40
32284,2014,MT,Montana,State Total,855
32285,2014,MT,Montana,STEM Total,127
32286,2014,NAT,National Total,Bachelor Total,83744
32287,2014,NAT,National Total,Elementary Total,43437
32288,2014,NAT,National Total,Masters Total,151952
32289,2014,NAT,National Total,Other Total,162429
32290,2014,NAT,National Total,PhD Total,10785
32291,2014,NAT,National Total,SPED Total,27566
32292,2014,NAT,National Total,State Total,246481
32293,2014,NAT,National Total,STEM Total,13049
32307,2014,NC,North Carolina,Bachelor Total,3380
32308,2014,NC,North Carolina,Elementary Total,2210
32309,2014,NC,North Carolina,Masters Total,4008
32310,2014,NC,North Carolina,Other Total,4454
32311,2014,NC,North Carolina,PhD Total,272
32312,2014,NC,North Carolina,SPED Total,473
32313,2014,NC,North Carolina,State Total,7660
32314,2014,NC,North Carolina,STEM Total,523
32328,2014,ND,North Dakota,Bachelor Total,580
32329,2014,ND,North Dakota,Elementary Total,326
32330,2014,ND,North Dakota,Masters Total,373
32331,2014,ND,North Dakota,Other Total,402
32332,2014,ND,North Dakota,PhD Total,32
32333,2014,ND,North Dakota,SPED Total,126
32334,2014,ND,North Dakota,State Total,985
32335,2014,ND,North Dakota,STEM Total,131
32349,2014,NE,Nebraska,Bachelor Total,1436
32350,2014,NE,Nebraska,Elementary Total,724
32351,2014,NE,Nebraska,Masters Total,1280
32352,2014,NE,Nebraska,Other Total,1780
32353,2014,NE,Nebraska,PhD Total,109
32354,2014,NE,Nebraska,SPED Total,202
32355,2014,NE,Nebraska,State Total,2825
32356,2014,NE,Nebraska,STEM Total,119
32370,2014,NH,New Hampshire,Bachelor Total,385
32371,2014,NH,New Hampshire,Elementary Total,363
32372,2014,NH,New Hampshire,Masters Total,894
32373,2014,NH,New Hampshire,Other Total,790
32374,2014,NH,New Hampshire,PhD Total,35
32375,2014,NH,New Hampshire,SPED Total,104
32376,2014,NH,New Hampshire,State Total,1314
32377,2014,NH,New Hampshire,STEM Total,57
32391,2014,NJ,New Jersey,Bachelor Total,1751
32392,2014,NJ,New Jersey,Elementary Total,773
32393,2014,NJ,New Jersey,Masters Total,2931
32394,2014,NJ,New Jersey,Other Total,3150
32395,2014,NJ,New Jersey,PhD Total,112
32396,2014,NJ,New Jersey,SPED Total,682
32397,2014,NJ,New Jersey,State Total,4794
32398,2014,NJ,New Jersey,STEM Total,189
32412,2014,NM,New Mexico,Bachelor Total,690
32413,2014,NM,New Mexico,Elementary Total,417
32414,2014,NM,New Mexico,Masters Total,874
32415,2014,NM,New Mexico,Other Total,992
32416,2014,NM,New Mexico,PhD Total,78
32417,2014,NM,New Mexico,SPED Total,181
32418,2014,NM,New Mexico,State Total,1642
32419,2014,NM,New Mexico,STEM Total,52
32433,2014,NV,Nevada,Bachelor Total,377
32434,2014,NV,Nevada,Elementary Total,279
32435,2014,NV,Nevada,Masters Total,638
32436,2014,NV,Nevada,Other Total,626
32437,2014,NV,Nevada,PhD Total,30
32438,2014,NV,Nevada,SPED Total,136
32439,2014,NV,Nevada,State Total,1045
32440,2014,NV,Nevada,STEM Total,4
32454,2014,NY,New York,Bachelor Total,5684
32455,2014,NY,New York,Elementary Total,3293
32456,2014,NY,New York,Masters Total,15385
32457,2014,NY,New York,Other Total,10731
32458,2014,NY,New York,PhD Total,467
32459,2014,NY,New York,SPED Total,5905
32460,2014,NY,New York,State Total,21536
32461,2014,NY,New York,STEM Total,1607
32475,2014,OH,Ohio,Bachelor Total,4016
32476,2014,OH,Ohio,Elementary Total,529
32477,2014,OH,Ohio,Masters Total,4500
32478,2014,OH,Ohio,Other Total,6509
32479,2014,OH,Ohio,PhD Total,255
32480,2014,OH,Ohio,SPED Total,1286
32481,2014,OH,Ohio,State Total,8771
32482,2014,OH,Ohio,STEM Total,447
32496,2014,OK,Oklahoma,Bachelor Total,1389
32497,2014,OK,Oklahoma,Elementary Total,719
32498,2014,OK,Oklahoma,Masters Total,1202
32499,2014,OK,Oklahoma,Other Total,1703
32500,2014,OK,Oklahoma,PhD Total,68
32501,2014,OK,Oklahoma,SPED Total,104
32502,2014,OK,Oklahoma,State Total,2659
32503,2014,OK,Oklahoma,STEM Total,133
32517,2014,OR,Oregon,Bachelor Total,602
32518,2014,OR,Oregon,Elementary Total,252
32519,2014,OR,Oregon,Masters Total,3706
32520,2014,OR,Oregon,Other Total,3821
32521,2014,OR,Oregon,PhD Total,76
32522,2014,OR,Oregon,SPED Total,186
32523,2014,OR,Oregon,State Total,4384
32524,2014,OR,Oregon,STEM Total,125
32538,2014,PA,Pennsylvania,Bachelor Total,3298
32539,2014,PA,Pennsylvania,Elementary Total,1100
32540,2014,PA,Pennsylvania,Masters Total,7183
32541,2014,PA,Pennsylvania,Other Total,7865
32542,2014,PA,Pennsylvania,PhD Total,510
32543,2014,PA,Pennsylvania,SPED Total,1519
32544,2014,PA,Pennsylvania,State Total,10991
32545,2014,PA,Pennsylvania,STEM Total,507
32559,2014,RI,Rhode Island,Bachelor Total,420
32560,2014,RI,Rhode Island,Elementary Total,144
32561,2014,RI,Rhode Island,Masters Total,393
32562,2014,RI,Rhode Island,Other Total,480
32563,2014,RI,Rhode Island,PhD Total,40
32564,2014,RI,Rhode Island,SPED Total,194
32565,2014,RI,Rhode Island,State Total,853
32566,2014,RI,Rhode Island,STEM Total,35
32580,2014,SC,South Carolina,Bachelor Total,1272
32581,2014,SC,South Carolina,Elementary Total,607
32582,2014,SC,South Carolina,Masters Total,1411
32583,2014,SC,South Carolina,Other Total,1876
32584,2014,SC,South Carolina,PhD Total,108
32585,2014,SC,South Carolina,SPED Total,257
32586,2014,SC,South Carolina,State Total,2791
32587,2014,SC,South Carolina,STEM Total,51
32601,2014,SD,South Dakota,Bachelor Total,498
32602,2014,SD,South Dakota,Elementary Total,327
32603,2014,SD,South Dakota,Masters Total,348
32604,2014,SD,South Dakota,Other Total,440
32605,2014,SD,South Dakota,PhD Total,34
32606,2014,SD,South Dakota,SPED Total,59
32607,2014,SD,South Dakota,State Total,880
32608,2014,SD,South Dakota,STEM Total,54
32622,2014,TN,Tennessee,Bachelor Total,2264
32623,2014,TN,Tennessee,Elementary Total,546
32624,2014,TN,Tennessee,Masters Total,2889
32625,2014,TN,Tennessee,Other Total,4217
32626,2014,TN,Tennessee,PhD Total,284
32627,2014,TN,Tennessee,SPED Total,584
32628,2014,TN,Tennessee,State Total,5437
32629,2014,TN,Tennessee,STEM Total,90
32643,2014,TX,Texas,Bachelor Total,1852
32644,2014,TX,Texas,Elementary Total,968
32645,2014,TX,Texas,Masters Total,9021
32646,2014,TX,Texas,Other Total,9036
32647,2014,TX,Texas,PhD Total,744
32648,2014,TX,Texas,SPED Total,934
32649,2014,TX,Texas,State Total,11617
32650,2014,TX,Texas,STEM Total,679
32664,2014,UT,Utah,Bachelor Total,3055
32665,2014,UT,Utah,Elementary Total,935
32666,2014,UT,Utah,Masters Total,2150
32667,2014,UT,Utah,Other Total,2539
32668,2014,UT,Utah,PhD Total,47
32669,2014,UT,Utah,SPED Total,712
32670,2014,UT,Utah,State Total,5252
32671,2014,UT,Utah,STEM Total,1066
32685,2014,VA,Virginia,Bachelor Total,1424
32686,2014,VA,Virginia,Elementary Total,727
32687,2014,VA,Virginia,Masters Total,5124
32688,2014,VA,Virginia,Other Total,5542
32689,2014,VA,Virginia,PhD Total,477
32690,2014,VA,Virginia,SPED Total,626
32691,2014,VA,Virginia,State Total,7025
32692,2014,VA,Virginia,STEM Total,130
32706,2014,VT,Vermont,Bachelor Total,269
32707,2014,VT,Vermont,Elementary Total,129
32708,2014,VT,Vermont,Masters Total,310
32709,2014,VT,Vermont,Other Total,392
32710,2014,VT,Vermont,PhD Total,8
32711,2014,VT,Vermont,SPED Total,43
32712,2014,VT,Vermont,State Total,587
32713,2014,VT,Vermont,STEM Total,23
32727,2014,WA,Washington,Bachelor Total,1340
32728,2014,WA,Washington,Elementary Total,739
32729,2014,WA,Washington,Masters Total,1745
32730,2014,WA,Washington,Other Total,1987
32731,2014,WA,Washington,PhD Total,69
32732,2014,WA,Washington,SPED Total,275
32733,2014,WA,Washington,State Total,3154
32734,2014,WA,Washington,STEM Total,153
32748,2014,WI,Wisconsin,Bachelor Total,2505
32749,2014,WI,Wisconsin,Elementary Total,1168
32750,2014,WI,Wisconsin,Masters Total,1668
32751,2014,WI,Wisconsin,Other Total,2604
32752,2014,WI,Wisconsin,PhD Total,142
32753,2014,WI,Wisconsin,SPED Total,378
32754,2014,WI,Wisconsin,State Total,4315
32755,2014,WI,Wisconsin,STEM Total,165
32769,2014,WV,West Virginia,Bachelor Total,843
32770,2014,WV,West Virginia,Elementary Total,513
32771,2014,WV,West Virginia,Masters Total,1145
32772,2014,WV,West Virginia,Other Total,1330
32773,2014,WV,West Virginia,PhD Total,34
32774,2014,WV,West Virginia,SPED Total,163
32775,2014,WV,West Virginia,State Total,2022
32776,2014,WV,West Virginia,STEM Total,16
32790,2014,WY,Wyoming,Bachelor Total,221
32791,2014,WY,Wyoming,Elementary Total,131
32792,2014,WY,Wyoming,Masters Total,88
32793,2014,WY,Wyoming,Other Total,175
32794,2014,WY,Wyoming,PhD Total,24
32795,2014,WY,Wyoming,SPED Total,0
32796,2014,WY,Wyoming,State Total,333
32797,2014,WY,Wyoming,STEM Total,27
32811,2015,AK,Alaska,Bachelor Total,76
32812,2015,AK,Alaska,Elementary Total,65
32813,2015,AK,Alaska,Masters Total,248
32814,2015,AK,Alaska,Other Total,198
32815,2015,AK,Alaska,PhD Total,0
32816,2015,AK,Alaska,SPED Total,48
32817,2015,AK,Alaska,State Total,324
32818,2015,AK,Alaska,STEM Total,13
32832,2015,AL,Alabama,Bachelor Total,2037
32833,2015,AL,Alabama,Elementary Total,1132
32834,2015,AL,Alabama,Masters Total,2157
32835,2015,AL,Alabama,Other Total,2762
32836,2015,AL,Alabama,PhD Total,178
32837,2015,AL,Alabama,SPED Total,297
32838,2015,AL,Alabama,State Total,4372
32839,2015,AL,Alabama,STEM Total,181
32853,2015,AR,Arkansas,Bachelor Total,942
32854,2015,AR,Arkansas,Elementary Total,361
32855,2015,AR,Arkansas,Masters Total,1962
32856,2015,AR,Arkansas,Other Total,2228
32857,2015,AR,Arkansas,PhD Total,66
32858,2015,AR,Arkansas,SPED Total,238
32859,2015,AR,Arkansas,State Total,2970
32860,2015,AR,Arkansas,STEM Total,143
32874,2015,AZ,Arizona,Bachelor Total,2935
32875,2015,AZ,Arizona,Elementary Total,2154
32876,2015,AZ,Arizona,Masters Total,6943
32877,2015,AZ,Arizona,Other Total,6491
32878,2015,AZ,Arizona,PhD Total,696
32879,2015,AZ,Arizona,SPED Total,1751
32880,2015,AZ,Arizona,State Total,10574
32881,2015,AZ,Arizona,STEM Total,178
32895,2015,CA, California,Bachelor Total,912
32896,2015,CA, California,Elementary Total,408
32897,2015,CA, California,Masters Total,13134
32898,2015,CA, California,Other Total,13815
32899,2015,CA, California,PhD Total,1456
32900,2015,CA, California,SPED Total,927
32901,2015,CA, California,State Total,15502
32902,2015,CA, California,STEM Total,352
32916,2015,CO,Colorado,Bachelor Total,249
32917,2015,CO,Colorado,Elementary Total,95
32918,2015,CO,Colorado,Masters Total,2003
32919,2015,CO,Colorado,Other Total,2028
32920,2015,CO,Colorado,PhD Total,152
32921,2015,CO,Colorado,SPED Total,241
32922,2015,CO,Colorado,State Total,2404
32923,2015,CO,Colorado,STEM Total,40
32937,2015,CT,Connecticut,Bachelor Total,600
32938,2015,CT,Connecticut,Elementary Total,438
32939,2015,CT,Connecticut,Masters Total,1971
32940,2015,CT,Connecticut,Other Total,1715
32941,2015,CT,Connecticut,PhD Total,59
32942,2015,CT,Connecticut,SPED Total,360
32943,2015,CT,Connecticut,State Total,2630
32944,2015,CT,Connecticut,STEM Total,117
32958,2015,DE,Delaware,Bachelor Total,427
32959,2015,DE,Delaware,Elementary Total,286
32960,2015,DE,Delaware,Masters Total,610
32961,2015,DE,Delaware,Other Total,627
32962,2015,DE,Delaware,PhD Total,89
32963,2015,DE,Delaware,SPED Total,113
32964,2015,DE,Delaware,State Total,1126
32965,2015,DE,Delaware,STEM Total,100
32979,2015,FL,Florida,Bachelor Total,4197
32980,2015,FL,Florida,Elementary Total,2297
32981,2015,FL,Florida,Masters Total,4301
32982,2015,FL,Florida,Other Total,5456
32983,2015,FL,Florida,PhD Total,836
32984,2015,FL,Florida,SPED Total,1018
32985,2015,FL,Florida,State Total,9334
32986,2015,FL,Florida,STEM Total,563
33000,2015,GA,Georgia,Bachelor Total,2711
33001,2015,GA,Georgia,Elementary Total,1535
33002,2015,GA,Georgia,Masters Total,2981
33003,2015,GA,Georgia,Other Total,3439
33004,2015,GA,Georgia,PhD Total,395
33005,2015,GA,Georgia,SPED Total,645
33006,2015,GA,Georgia,State Total,6087
33007,2015,GA,Georgia,STEM Total,468
33021,2015,HI,Hawaii,Bachelor Total,354
33022,2015,HI,Hawaii,Elementary Total,184
33023,2015,HI,Hawaii,Masters Total,333
33024,2015,HI,Hawaii,Other Total,486
33025,2015,HI,Hawaii,PhD Total,74
33026,2015,HI,Hawaii,SPED Total,60
33027,2015,HI,Hawaii,State Total,761
33028,2015,HI,Hawaii,STEM Total,31
33042,2015,IA,Iowa,Bachelor Total,2136
33043,2015,IA,Iowa,Elementary Total,1247
33044,2015,IA,Iowa,Masters Total,2936
33045,2015,IA,Iowa,Other Total,3506
33046,2015,IA,Iowa,PhD Total,83
33047,2015,IA,Iowa,SPED Total,175
33048,2015,IA,Iowa,State Total,5155
33049,2015,IA,Iowa,STEM Total,227
33063,2015,ID,Idaho,Bachelor Total,736
33064,2015,ID,Idaho,Elementary Total,308
33065,2015,ID,Idaho,Masters Total,599
33066,2015,ID,Idaho,Other Total,789
33067,2015,ID,Idaho,PhD Total,73
33068,2015,ID,Idaho,SPED Total,40
33069,2015,ID,Idaho,State Total,1408
33070,2015,ID,Idaho,STEM Total,271
33084,2015,IL,Illinois,Bachelor Total,3135
33085,2015,IL,Illinois,Elementary Total,2016
33086,2015,IL,Illinois,Masters Total,6903
33087,2015,IL,Illinois,Other Total,6754
33088,2015,IL,Illinois,PhD Total,499
33089,2015,IL,Illinois,SPED Total,1059
33090,2015,IL,Illinois,State Total,10537
33091,2015,IL,Illinois,STEM Total,708
33105,2015,IN,Indiana,Bachelor Total,2725
33106,2015,IN,Indiana,Elementary Total,1442
33107,2015,IN,Indiana,Masters Total,2187
33108,2015,IN,Indiana,Other Total,2674
33109,2015,IN,Indiana,PhD Total,203
33110,2015,IN,Indiana,SPED Total,816
33111,2015,IN,Indiana,State Total,5115
33112,2015,IN,Indiana,STEM Total,183
33126,2015,KS,Kansas,Bachelor Total,1575
33127,2015,KS,Kansas,Elementary Total,951
33128,2015,KS,Kansas,Masters Total,1995
33129,2015,KS,Kansas,Other Total,2247
33130,2015,KS,Kansas,PhD Total,123
33131,2015,KS,Kansas,SPED Total,289
33132,2015,KS,Kansas,State Total,3693
33133,2015,KS,Kansas,STEM Total,206
33147,2015,KY,Kentucky,Bachelor Total,1750
33148,2015,KY,Kentucky,Elementary Total,1027
33149,2015,KY,Kentucky,Masters Total,2668
33150,2015,KY,Kentucky,Other Total,3029
33151,2015,KY,Kentucky,PhD Total,236
33152,2015,KY,Kentucky,SPED Total,505
33153,2015,KY,Kentucky,State Total,4654
33154,2015,KY,Kentucky,STEM Total,93
33168,2015,LA,Louisiana,Bachelor Total,1362
33169,2015,LA,Louisiana,Elementary Total,598
33170,2015,LA,Louisiana,Masters Total,1272
33171,2015,LA,Louisiana,Other Total,2030
33172,2015,LA,Louisiana,PhD Total,103
33173,2015,LA,Louisiana,SPED Total,81
33174,2015,LA,Louisiana,State Total,2737
33175,2015,LA,Louisiana,STEM Total,28
33189,2015,MA,Massachusetts,Bachelor Total,1214
33190,2015,MA,Massachusetts,Elementary Total,1016
33191,2015,MA,Massachusetts,Masters Total,6213
33192,2015,MA,Massachusetts,Other Total,5209
33193,2015,MA,Massachusetts,PhD Total,377
33194,2015,MA,Massachusetts,SPED Total,1176
33195,2015,MA,Massachusetts,State Total,7804
33196,2015,MA,Massachusetts,STEM Total,403
33210,2015,MD,Maryland,Bachelor Total,1173
33211,2015,MD,Maryland,Elementary Total,682
33212,2015,MD,Maryland,Masters Total,2757
33213,2015,MD,Maryland,Other Total,2464
33214,2015,MD,Maryland,PhD Total,136
33215,2015,MD,Maryland,SPED Total,300
33216,2015,MD,Maryland,State Total,4066
33217,2015,MD,Maryland,STEM Total,620
33231,2015,ME,Maine,Bachelor Total,388
33232,2015,ME,Maine,Elementary Total,186
33233,2015,ME,Maine,Masters Total,515
33234,2015,ME,Maine,Other Total,638
33235,2015,ME,Maine,PhD Total,5
33236,2015,ME,Maine,SPED Total,60
33237,2015,ME,Maine,State Total,908
33238,2015,ME,Maine,STEM Total,24
33252,2015,MI,Michigan,Bachelor Total,3050
33253,2015,MI,Michigan,Elementary Total,917
33254,2015,MI,Michigan,Masters Total,3451
33255,2015,MI,Michigan,Other Total,4179
33256,2015,MI,Michigan,PhD Total,276
33257,2015,MI,Michigan,SPED Total,859
33258,2015,MI,Michigan,State Total,6777
33259,2015,MI,Michigan,STEM Total,822
33273,2015,MN,Minnesota,Bachelor Total,1975
33274,2015,MN,Minnesota,Elementary Total,997
33275,2015,MN,Minnesota,Masters Total,3426
33276,2015,MN,Minnesota,Other Total,4276
33277,2015,MN,Minnesota,PhD Total,663
33278,2015,MN,Minnesota,SPED Total,474
