,year,state_short,state_long,indicator,value
991,1984,WA,Washington,PhD Total,106
992,1984,WA,Washington,SPED Total,233
993,1984,WA,Washington,State Total,2550
994,1984,WA,Washington,STEM Total,167
1008,1984,WI,Wisconsin,Bachelor Total,2634
1009,1984,WI,Wisconsin,Elementary Total,1027
1010,1984,WI,Wisconsin,Masters Total,1361
1011,1984,WI,Wisconsin,Other Total,2200
1012,1984,WI,Wisconsin,PhD Total,105
1013,1984,WI,Wisconsin,SPED Total,607
1014,1984,WI,Wisconsin,State Total,4100
1015,1984,WI,Wisconsin,STEM Total,266
1029,1984,WV,West Virginia,Bachelor Total,1338
1030,1984,WV,West Virginia,Elementary Total,740
1031,1984,WV,West Virginia,Masters Total,899
1032,1984,WV,West Virginia,Other Total,1269
1033,1984,WV,West Virginia,PhD Total,43
1034,1984,WV,West Virginia,SPED Total,198
1035,1984,WV,West Virginia,State Total,2280
1036,1984,WV,West Virginia,STEM Total,73
1050,1984,WY,Wyoming,Bachelor Total,307
1051,1984,WY,Wyoming,Elementary Total,133
1052,1984,WY,Wyoming,Masters Total,65
1053,1984,WY,Wyoming,Other Total,201
1054,1984,WY,Wyoming,PhD Total,22
1055,1984,WY,Wyoming,SPED Total,4
1056,1984,WY,Wyoming,State Total,394
1057,1984,WY,Wyoming,STEM Total,56
1071,1985,AK,Alaska,Bachelor Total,141
1072,1985,AK,Alaska,Elementary Total,87
1073,1985,AK,Alaska,Masters Total,101
1074,1985,AK,Alaska,Other Total,154
1075,1985,AK,Alaska,PhD Total,0
1076,1985,AK,Alaska,SPED Total,0
1077,1985,AK,Alaska,State Total,242
1078,1985,AK,Alaska,STEM Total,1
1092,1985,AL,Alabama,Bachelor Total,1717
1093,1985,AL,Alabama,Elementary Total,1310
1094,1985,AL,Alabama,Masters Total,1564
1095,1985,AL,Alabama,Other Total,1476
1096,1985,AL,Alabama,PhD Total,100
1097,1985,AL,Alabama,SPED Total,389
1098,1985,AL,Alabama,State Total,3381
1099,1985,AL,Alabama,STEM Total,206
1113,1985,AR,Arkansas,Bachelor Total,1446
1114,1985,AR,Arkansas,Elementary Total,838
1115,1985,AR,Arkansas,Masters Total,817
1116,1985,AR,Arkansas,Other Total,1117
1117,1985,AR,Arkansas,PhD Total,41
1118,1985,AR,Arkansas,SPED Total,209
1119,1985,AR,Arkansas,State Total,2304
1120,1985,AR,Arkansas,STEM Total,140
1134,1985,AZ,Arizona,Bachelor Total,1163
1135,1985,AZ,Arizona,Elementary Total,797
1136,1985,AZ,Arizona,Masters Total,1185
1137,1985,AZ,Arizona,Other Total,1334
1138,1985,AZ,Arizona,PhD Total,121
1139,1985,AZ,Arizona,SPED Total,268
1140,1985,AZ,Arizona,State Total,2469
1141,1985,AZ,Arizona,STEM Total,70
1155,1985,CA, California,Bachelor Total,2420
1156,1985,CA, California,Elementary Total,779
1157,1985,CA, California,Masters Total,5447
1158,1985,CA, California,Other Total,6822
1159,1985,CA, California,PhD Total,479
1160,1985,CA, California,SPED Total,279
1161,1985,CA, California,State Total,8346
1162,1985,CA, California,STEM Total,466
1176,1985,CO,Colorado,Bachelor Total,938
1177,1985,CO,Colorado,Elementary Total,448
1178,1985,CO,Colorado,Masters Total,953
1179,1985,CO,Colorado,Other Total,1158
1180,1985,CO,Colorado,PhD Total,108
1181,1985,CO,Colorado,SPED Total,246
1182,1985,CO,Colorado,State Total,1999
1183,1985,CO,Colorado,STEM Total,147
1197,1985,CT,Connecticut,Bachelor Total,745
1198,1985,CT,Connecticut,Elementary Total,466
1199,1985,CT,Connecticut,Masters Total,1562
1200,1985,CT,Connecticut,Other Total,1344
1201,1985,CT,Connecticut,PhD Total,53
1202,1985,CT,Connecticut,SPED Total,447
1203,1985,CT,Connecticut,State Total,2360
1204,1985,CT,Connecticut,STEM Total,103
1218,1985,DE,Delaware,Bachelor Total,210
1219,1985,DE,Delaware,Elementary Total,108
1220,1985,DE,Delaware,Masters Total,119
1221,1985,DE,Delaware,Other Total,198
1222,1985,DE,Delaware,PhD Total,10
1223,1985,DE,Delaware,SPED Total,22
1224,1985,DE,Delaware,State Total,339
1225,1985,DE,Delaware,STEM Total,11
1239,1985,FL,Florida,Bachelor Total,2990
1240,1985,FL,Florida,Elementary Total,1787
1241,1985,FL,Florida,Masters Total,2784
1242,1985,FL,Florida,Other Total,3262
1243,1985,FL,Florida,PhD Total,363
1244,1985,FL,Florida,SPED Total,670
1245,1985,FL,Florida,State Total,6137
1246,1985,FL,Florida,STEM Total,418
1260,1985,GA,Georgia,Bachelor Total,2070
1261,1985,GA,Georgia,Elementary Total,1418
1262,1985,GA,Georgia,Masters Total,2810
1263,1985,GA,Georgia,Other Total,2638
1264,1985,GA,Georgia,PhD Total,208
1265,1985,GA,Georgia,SPED Total,583
1266,1985,GA,Georgia,State Total,5088
1267,1985,GA,Georgia,STEM Total,449
1281,1985,HI,Hawaii,Bachelor Total,290
1282,1985,HI,Hawaii,Elementary Total,66
1283,1985,HI,Hawaii,Masters Total,161
1284,1985,HI,Hawaii,Other Total,333
1285,1985,HI,Hawaii,PhD Total,8
1286,1985,HI,Hawaii,SPED Total,11
1287,1985,HI,Hawaii,State Total,459
1288,1985,HI,Hawaii,STEM Total,49
1302,1985,IA,Iowa,Bachelor Total,1822
